homelat,homelon,homecontinent,country,n
34.397222,35.894722,Middle East & North Africa,Lebanon,1
34.397451,73.860665,South Asia,India,2
34.397491,36.393486,Middle East & North Africa,Lebanon,0
34.398026,72.478056,South Asia,Pakistan,0
34.398168,73.861172,South Asia,India,1
34.398515,70.274084,South Asia,Afghanistan,1
34.398573,72.06038,South Asia,Pakistan,8
34.398889,71.264444,South Asia,Pakistan,5
34.39907,71.26465,South Asia,Pakistan,2
34.399281,74.281273,South Asia,India,26
34.399441,70.246154,South Asia,Afghanistan,0
34.399525,45.142685,Middle East & North Africa,Iraq,0
34.399607,73.862631,South Asia,India,4
34.399616,74.281748,South Asia,India,0
34.399646,73.862489,South Asia,India,9
34.399819,72.627489,South Asia,Pakistan,6
34.4,69.483333,South Asia,Afghanistan,2
34.4,70.5,South Asia,Afghanistan,0
34.400377,73.864189,South Asia,India,1
34.400618,70.275584,South Asia,Afghanistan,1
34.401267,70.497269,South Asia,Afghanistan,0
34.402478,70.49607,South Asia,Afghanistan,2
34.403112,68.857168,South Asia,Afghanistan,2
34.403286,69.12522,South Asia,Afghanistan,0
34.403305,74.195886,South Asia,India,2
34.403829,72.567136,South Asia,Pakistan,3
34.404166,74.282486,South Asia,India,1
34.404289,72.55791,South Asia,Pakistan,3
34.404925,72.556802,South Asia,Pakistan,0
34.404932,72.558932,South Asia,Pakistan,2
34.405111,72.559842,South Asia,Pakistan,3
34.405209,41.893338,Middle East & North Africa,Iraq,11
34.405398,70.996262,South Asia,Afghanistan,0
34.405834,70.360074,South Asia,Afghanistan,1
34.406427,70.359876,South Asia,Afghanistan,7
34.406593,71.55415,South Asia,Pakistan,38
34.406726,135.326951,East Asia,Japan,0
34.407515,74.353096,South Asia,India,2
34.407656,74.237008,South Asia,India,0
34.407706,74.395019,South Asia,India,1
34.408889,69.155556,South Asia,Afghanistan,1
34.409317,74.358014,South Asia,India,0
34.409556,74.313288,South Asia,India,1
34.410199,41.004663,Middle East & North Africa,Iraq,0
34.410246,70.514145,South Asia,Afghanistan,1
34.410422,43.825001,Middle East & North Africa,Iraq,1
34.411496,74.302288,South Asia,India,1
34.411643,35.913528,Middle East & North Africa,Lebanon,1
34.411829,74.539005,South Asia,India,0
34.411929,-119.858282,North America,United States,3
34.41217,-119.85704,North America,United States,0
34.41248,73.231453,South Asia,Pakistan,0
34.413611,70.579722,South Asia,Afghanistan,2
34.413677,74.329418,South Asia,India,0
34.413996,63.760582,South Asia,Afghanistan,14
34.414238,-119.855348,North America,United States,4
34.414277,70.34224,South Asia,Afghanistan,13
34.415,72.166389,South Asia,Pakistan,0
34.415278,70.278333,South Asia,Afghanistan,0
34.415556,74.656667,South Asia,India,1
34.416145,41.960352,Middle East & North Africa,Iraq,0
34.416374,61.464272,South Asia,Afghanistan,2
34.41666,70.30748,South Asia,Afghanistan,0
34.416667,71.541111,South Asia,Pakistan,1
34.416679,70.307425,South Asia,Afghanistan,2
34.416681,71.92459,South Asia,Pakistan,50
34.4167,3.83333,Middle East & North Africa,Algeria,3
34.416846,35.826267,Middle East & North Africa,Lebanon,0
34.41688,41.09998,Middle East & North Africa,Iraq,10
34.417122,70.449593,South Asia,Afghanistan,583
34.417522,3.831195,Middle East & North Africa,Algeria,1
34.417538,70.323938,South Asia,Afghanistan,3
34.417802,63.91133,South Asia,Afghanistan,1
34.418031,70.305702,South Asia,Afghanistan,0
34.41808,70.649529,South Asia,Afghanistan,3
34.418812,74.332353,South Asia,India,0
34.419255,-119.698869,North America,United States,0
34.419539,74.63827,South Asia,India,20
34.419807,74.63561,South Asia,India,3
34.419935,72.064369,South Asia,Pakistan,0
34.42,68.891111,South Asia,Afghanistan,1
34.420096,44.910773,Middle East & North Africa,Iraq,5
34.421209,71.117328,South Asia,Pakistan,0
34.424068,63.913603,South Asia,Afghanistan,4
34.424243,36.412609,Middle East & North Africa,Lebanon,0
34.424656,70.598431,South Asia,Afghanistan,1
34.424682,70.337984,South Asia,Afghanistan,0
34.425036,37.440548,Middle East & North Africa,Syria,2
34.42525,41.653128,Middle East & North Africa,Iraq,0
34.425556,69.126111,South Asia,Afghanistan,2
34.425637,72.001301,South Asia,Pakistan,3
34.425826,44.939787,Middle East & North Africa,Iraq,1
34.425914,35.842154,Middle East & North Africa,Lebanon,0
34.426355,74.322821,South Asia,India,11
34.426939,62.047141,South Asia,Afghanistan,1
34.427412,62.215754,South Asia,Afghanistan,0
34.427952,70.366253,South Asia,Afghanistan,5
34.428488,74.625379,South Asia,India,0
34.428501,35.837965,Middle East & North Africa,Lebanon,0
34.429025,41.90151,Middle East & North Africa,Iraq,0
34.429322,8.786049,Middle East & North Africa,Tunisia,41
34.430037,74.649569,South Asia,India,0
34.430278,65.092778,South Asia,Afghanistan,3
34.430824,44.0191,Middle East & North Africa,Iraq,6
34.430836,44.93409,Middle East & North Africa,Iraq,65
34.430986,35.835675,Middle East & North Africa,Lebanon,1
34.43188,74.125979,South Asia,India,0
